logged_at,route,id,frame_index,timestamp,visibility,nose_x,nose_y,nose_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,brightness,baseline_signature,baseline_brightness,z_threshold,shoulder_threshold,round_shoulder_ratio,round_shoulder_z_threshold,dark_mode,dark_abs_threshold,dark_relative_ratio
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,10,2026-05-13T05:47:18.376Z,0.997613,0.554284,0.545068,-0.098849,0.597992,0.497642,-0.055916,0.484306,0.512735,-0.066612,0.710659,0.840234,-0.029206,0.368852,0.88337,-0.050923,146,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,11,2026-05-13T05:47:18.654Z,0.997551,0.554295,0.545065,-0.090532,0.593783,0.497748,-0.04777,0.483966,0.512965,-0.063491,0.698365,0.829351,-0.022904,0.366254,0.883619,-0.050791,146,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,12,2026-05-13T05:47:18.923Z,0.997739,0.544136,0.543852,-0.097273,0.593477,0.495831,-0.056962,0.47799,0.511859,-0.065513,0.704667,0.836276,-0.033702,0.364862,0.884179,-0.05207,146,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,13,2026-05-13T05:47:19.192Z,0.997792,0.541261,0.552097,-0.097604,0.592879,0.499799,-0.057235,0.479631,0.515549,-0.062971,0.702669,0.8343,-0.034227,0.370935,0.874255,-0.044392,147,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,14,2026-05-13T05:47:19.467Z,0.997889,0.54113,0.562929,-0.089496,0.593085,0.511161,-0.051303,0.481716,0.5223,-0.058944,0.696425,0.822512,-0.030769,0.37931,0.861853,-0.044407,147,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,15,2026-05-13T05:47:19.738Z,0.998024,0.537971,0.566734,-0.09006,0.587046,0.517995,-0.051206,0.479157,0.52606,-0.058095,0.69084,0.829417,-0.030072,0.379279,0.861423,-0.042553,148,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,16,2026-05-13T05:47:20.015Z,0.997856,0.534077,0.568,-0.090242,0.581383,0.521644,-0.049968,0.47416,0.5285,-0.058628,0.678949,0.824653,-0.026293,0.372421,0.862922,-0.042337,148,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,17,2026-05-13T05:47:20.290Z,0.997973,0.532239,0.566058,-0.09117,0.581295,0.519155,-0.051326,0.47278,0.527441,-0.058717,0.680573,0.826594,-0.029432,0.371005,0.863047,-0.043014,148,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,18,2026-05-13T05:47:20.564Z,0.998054,0.535049,0.567766,-0.088402,0.582325,0.519248,-0.048611,0.473529,0.529818,-0.057688,0.678914,0.819165,-0.026568,0.377722,0.857198,-0.042863,148,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,19,2026-05-13T05:47:20.836Z,0.998171,0.534484,0.564129,-0.088564,0.582367,0.518782,-0.04851,0.47354,0.52821,-0.057519,0.678462,0.82441,-0.026102,0.37561,0.859636,-0.042838,148,,,,,,,,,
